OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT
2285,LDR,Low-Density Residential,,, , , ,9.48655748,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{84F872CF-875E-4FB7-AC5F-CDEA7868F8CC},174.3
2286,LDR,Low-Density Residential,,,0-8, , ,77.21359699,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{CAFF272C-7C2C-4FA1-A21D-7D80C77833C7},617.7
2287,O-I,Office/Institutional,,, , , ,1.07452249,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{FF335BCE-86A9-4D81-A99C-4AFBEBF36208},0
2288,SFR,Single-Family Residential,,, , , ,13.7847569,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{798C501B-B3BE-40B5-BD8B-A915BEE1D725},27.6
2289,MDR,Medium-Density Residential,,,0-16, , ,28.54004805,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{DDFA12F2-F29C-4997-A3F7-1F6510BD1DF9},456.6
2290,LDC,Low-Density Commercial,,, , , ,5.07806402,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{B7D24672-AD00-4C20-A7E6-96772329EFB5},0
2291,LDC,Low-Density Commercial,,, , , ,3.46740066,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{7271D25F-02B7-468C-8D1D-354E9A42F66D},0
2292,MDMU,Medium-Density Mixed-Use,,, , ,LDC,3.30615368,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{4465B8AF-F821-470B-9CAB-1EF5BF9C7C6D},0
2293,MU,Mixed-Use,,, , , ,33.23448045,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{AAA32AE6-DDAC-4663-8FC4-E5515C0FF4FE},0
2294,LDR,Low-Density Residential,,, , , ,0.66807534,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{C7A2A76A-1765-48E9-950D-E8C52C21BCAF},5.8
2295,O-I,Office/Institutional,,, , , ,0.58246807,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{C2A2686F-8A0F-459A-BCAC-0FA3631D7EFE},0
2296,I,Industrial,,, , , ,22.37194826,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{0529AECC-130A-4D41-A26A-646A1C5D5845},0
2297,OS,Open Space,,, , , ,142.31219561,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{DCDF97F5-349F-401E-A264-E352CC52B757},0
2298,LDC,Low-Density Commercial,,, , , ,4.92347589,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{47B076EF-2952-419B-B55A-9A3AB78D2F66},0
2299,LDC,Low-Density Commercial,,, , , ,3.58185719,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{1EE2DDD2-959F-413F-97C8-9D01415E14B3},0
2300,LDC,Low-Density Commercial,,, , , ,0.47585986,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{3BAD90B8-02F8-419C-BA3F-756BF8ED7892},0
2301,LDC,Low-Density Commercial,,, , , ,2.12005971,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{D35785D8-009D-4433-A564-A393A21864E2},0
2302,LDC,Low-Density Commercial,,, , , ,25.03354205,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{BF5128EC-5C42-4348-A0A8-0F95011AB8DA},0
2303,MDR,Medium-Density Residential,,,0-16, , ,0.44339836,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{A671B881-859B-4EB1-84A7-0A5AEA33F9AE},7
2304,LDR,Low-Density Residential,,,0-8, , ,6.47347167,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{D4263984-0F93-485B-B007-00D6FBDAABCF},51.8
2305,LDR,Low-Density Residential,,,0-8, , ,0.43581819,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{38117A82-F3FE-4B63-97B2-B04BFC739BB0},3.5
2385,HDR,High-Density Residential,,, , , ,12.76076772,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{E251C3F9-AC73-4CCB-8B34-94D43B2AE05D},370
2386,LDR,Low-Density Residential,,,0-8, , ,8.00139939,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{6FE533B2-B6C3-4327-AB07-3C1810CAD995},64
2388,MDR,Medium-Density Residential,,, , , ,0.87585578,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{9F4008FF-AA9A-4F09-ACC2-36FE5F3DBBC3},13.9
2389,OS,Open Space,,, , , ,12.03934509,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{BEF747EA-3DAB-4081-B579-858FCBA9681D},0
2390,VHDR,Very High-Density Residential,,, , , ,9.1278983,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{97DB7971-DCB0-4E31-9646-F6DFBE61DBD5},584.3
2391,O-I,Office/Institutional,,, , , ,12.91409358,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{45800A6E-500A-4D9D-AD32-C830E692E6F6},0
2392,LDR,Low-Density Residential,,,9-16, , ,24.07446601,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{2D094E2A-C6A4-4682-BBFB-CA16886684CA},385
2393,LDC,Low-Density Commercial,,, , , ,8.28500767,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{2CD2BCEA-75FD-4BCC-B2AD-A567BD08A8CA},0
2394,MDR,Medium-Density Residential,,,0-16, , ,3.76737226,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{FCD53AAD-3685-4A5E-8E3E-1BA3FF3B6795},60.2
2395,MDR,Medium-Density Residential,,,0-16, , ,30.12356491,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{D06078BC-CA3E-4CF1-A241-835A2161C63F},482.1
2396,LDR,Low-Density Residential,,,0-8, , ,12.50389852,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{F9FB04D5-9301-4FB8-AA56-D3251E89B623},100.1
2397,MDR,Medium-Density Residential,,, , , ,3.74870462,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{CFA940C4-0E2F-48D3-BE16-E61A0E116AC0},60
